,predicted_mean
2024-08-18 12:00:00+00:00,302724521.03296125
2024-08-18 13:00:00+00:00,363114136.7399514
2024-08-18 14:00:00+00:00,373760397.54893655
2024-08-18 15:00:00+00:00,403001486.3534904
2024-08-18 16:00:00+00:00,421981119.64022
2024-08-18 17:00:00+00:00,424792308.4779261
2024-08-18 18:00:00+00:00,447789098.2121174
2024-08-18 19:00:00+00:00,457050052.07089776
2024-08-18 20:00:00+00:00,473675622.4879033
2024-08-18 21:00:00+00:00,480407390.4259374
2024-08-18 22:00:00+00:00,480627314.3160948
2024-08-18 23:00:00+00:00,484403458.82185066
2024-08-19 00:00:00+00:00,481129013.0189124
2024-08-19 01:00:00+00:00,470941225.52229744
2024-08-19 02:00:00+00:00,471206869.38898504
2024-08-19 03:00:00+00:00,469130422.2365685
2024-08-19 04:00:00+00:00,456009104.4623608
2024-08-19 05:00:00+00:00,489363286.87902176
2024-08-19 06:00:00+00:00,484524043.2811741
2024-08-19 07:00:00+00:00,489422230.62005633
2024-08-19 08:00:00+00:00,470631703.16179645
2024-08-19 09:00:00+00:00,490136088.107601
2024-08-19 10:00:00+00:00,497799583.65994954
2024-08-19 11:00:00+00:00,500261854.9999893
2024-08-19 12:00:00+00:00,523290140.73434454
2024-08-19 13:00:00+00:00,522912233.88038915
2024-08-19 14:00:00+00:00,518523906.559601
2024-08-19 15:00:00+00:00,520488405.6966418
2024-08-19 16:00:00+00:00,508970046.9926888
2024-08-19 17:00:00+00:00,500231876.5513296
2024-08-19 18:00:00+00:00,510243927.59690356
2024-08-19 19:00:00+00:00,523453105.98882097
2024-08-19 20:00:00+00:00,566173627.4391415
2024-08-19 21:00:00+00:00,536944757.536827
2024-08-19 22:00:00+00:00,537972752.5518084
2024-08-19 23:00:00+00:00,543873280.5676925
