item_id,timestamp,mean,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
6,2024-08-19 00:00:00,1445556739.2920213,115363815.82578492,571991726.9767569,901252577.196231,1182593833.3642354,1445556739.2920213,1708519645.2198071,1989860901.3878117,2319121751.6072855,2775749662.758258
6,2024-08-19 01:00:00,2011506483.9906614,-459886280.4976618,388492098.1372578,1000232597.2080576,1522942297.8684897,2011506483.9906614,2500070670.112833,3022780370.773265,3634520869.8440647,4482899248.478985
6,2024-08-19 02:00:00,2577456228.6893015,-1280334404.60142,43965888.58236122,998879571.7615426,1814818104.9293,2577456228.6893015,3340094352.4493027,4156032885.6170607,5110946568.796242,6435246861.980022
6,2024-08-19 03:00:00,3143405973.3879414,-2417546410.422022,-508585667.7860937,867909333.5194478,2044073558.6866436,3143405973.3879414,4242738388.089239,5418902613.256435,6795397614.561976,8704358357.197905
6,2024-08-19 04:00:00,3709355718.086581,-3940681090.298067,-1314580570.2787256,579022665.2394161,2197036809.980156,3709355718.086581,5221674626.1930065,6839688770.933746,8733292006.451889,11359392526.47123
6,2024-08-19 05:00:00,4275305462.7852216,-5931669948.0306015,-2427824920.1492248,98693859.68082619,2257511000.484646,4275305462.7852216,6293099925.085797,8451917065.889617,10978435845.719667,14482280873.601044
6,2024-08-19 06:00:00,4841255207.483862,-8491387683.741068,-3914565204.729866,-614354192.7827902,2205554433.164613,4841255207.483862,7476955981.803111,10296864607.750515,13597075619.69759,18173898098.708794
6,2024-08-19 07:00:00,5407204952.182501,-11744924555.92915,-5856950765.878557,-1611307411.9814634,2016438290.6447396,5407204952.182501,8797971613.720263,12425717316.346466,16671360670.243559,22559334460.29415
6,2024-08-19 08:00:00,5973154696.881142,-15847446500.575424,-8356882260.548552,-2955658441.1850376,1659488161.1862173,5973154696.881142,10286821232.576065,14901967834.94732,20303191654.310837,27793755894.337708
6,2024-08-19 09:00:00,6539104441.579781,-20991195082.845097,-11540608672.837166,-4726070970.600622,1096700233.6695108,6539104441.579781,11981508649.490051,17804279853.760185,24618817555.996727,34069403966.004658
6,2024-08-19 10:00:00,7105054186.278421,-27414017000.760925,-15564328814.22655,-7019869941.137665,281055118.82106495,7105054186.278421,13929053253.735779,21229978313.694508,29774437186.783394,41624125373.317764
6,2024-08-19 11:00:00,7671003930.977062,-35409821423.25194,-20621058872.252888,-9957320602.373146,-845549438.8868437,7671003930.977062,16187557300.84097,25299328464.32727,35963066734.207016,50751829285.20607
6,2024-08-19 12:00:00,8236953675.675701,-45341429819.62962,-26949071157.43292,-13686886558.615925,-2354838815.6910057,8236953675.675701,18828746167.042408,30160793909.967327,43422978508.78432,61815337170.98102
6,2024-08-19 13:00:00,8802903420.374342,-57656381822.64577,-34842274138.15455,-18391697399.951973,-4335286134.752834,8802903420.374342,21941092975.50152,35997504240.70066,52448080978.90324,75262188663.39445
6,2024-08-19 14:00:00,9368853165.07298,-72906387962.37625,-44662987450.53817,-24297508603.270958,-6895957834.226021,9368853165.07298,25633664164.371983,43035214933.416916,63400693780.684135,91644094292.52222
6,2024-08-19 15:00:00,9934802909.771622,-91771278494.55385,-56857669585.86334,-31682501198.697243,-10171248058.321827,9934802909.771622,30040853877.86507,51552107018.240486,76727275405.40659,111640884314.09709
6,2024-08-19 16:00:00,10500752654.470263,-115088492878.35594,-71976284236.28629,-40889348624.86687,-14326708367.147818,10500752654.470263,35328213676.08834,61890853933.80739,92977789545.2268,136089998187.29646
6,2024-08-19 17:00:00,11066702399.168901,-143889394881.0364,-90696149169.89055,-52340076575.38242,-19566226789.666733,11066702399.168901,41699631588.00454,74473481373.72023,112829553968.22835,166022799679.37424
6,2024-08-19 18:00:00,11632652143.867542,-179443994188.59488,-113851305830.90492,-66554362719.39751,-26140868740.297276,11632652143.867542,49406173028.032364,89819667007.13258,137116610118.64,202709298476.33
6,2024-08-19 19:00:00,12198601888.566181,-223316019694.71042,-142468687099.64047,-84172072245.03915,-34359764335.96535,12198601888.566181,58756968113.09772,108569276022.17151,166865890876.77286,247713223471.8428
6,2024-08-19 20:00:00,12764551633.264822,-277430738238.2855,-177812655250.2953,-105981008737.09032,-44603515332.78683,12764551633.264822,70132618599.31647,131510112003.61995,203341758516.82495,302959841504.8152
6,2024-08-19 21:00:00,13330501377.96346,-344158465029.3787,-221439844962.8,-132951085966.36845,-57340704118.02749,13330501377.96346,84001706873.9544,159612088722.29538,248100847718.72693,370819467785.3056
6,2024-08-19 22:00:00,13896451122.662102,-426417392394.73804,-275266693071.9042,-166276404578.89557,-73148221698.0672,13896451122.662102,100941123943.39139,194069306824.2198,303059595317.2284,454210294640.06226
6,2024-08-19 23:00:00,14462400867.360743,-527800201362.974,-341652586995.50574,-207427060530.27155,-92736297263.49074,14462400867.360743,121661098998.21223,236351862264.99304,370577388730.2272,556725003097.6954
